tensor,format,bits,sqnr_db,mse
gauss_w(std0.02),GF16,16,67.613,6.948723906211214e-11
gauss_w(std0.02),fp16,16,73.658,1.7273330382364486e-11
gauss_w(std0.02),bf16,16,55.602,1.104040654651648e-09
gauss_w(std0.02),GF8,8,12.942,2.037152304469223e-05
gauss_w(std0.02),fp8_e4m3,8,29.632,4.365789010495595e-07
gauss_w(std0.02),int8,8,38.667,5.451020932600598e-08
gauss_act(std1.0),GF16,16,67.642,1.7218024149480051e-07
gauss_act(std1.0),fp16,16,73.656,4.3115355838778105e-08
gauss_act(std1.0),bf16,16,55.577,2.77018633540323e-06
gauss_act(std1.0),GF8,8,37.44,0.00018040196611705974
gauss_act(std1.0),fp8_e4m3,8,31.512,0.0007063147164971799
gauss_act(std1.0),int8,8,38.834,0.0001308676162221388
heavy_tail(t df3),GF16,16,67.724,4.853703453659513e-09
heavy_tail(t df3),fp16,16,73.736,1.2157766735017971e-09
heavy_tail(t df3),bf16,16,55.638,7.846650339725016e-08
heavy_tail(t df3),GF8,8,31.155,2.202767835306735e-05
heavy_tail(t df3),fp8_e4m3,8,31.619,1.979317231815024e-05
heavy_tail(t df3),int8,8,19.486,0.00032345977989024533
"uniform[-1,1]",GF16,16,68.658,4.547585470289883e-08
"uniform[-1,1]",fp16,16,74.67,1.1392601831411016e-08
"uniform[-1,1]",bf16,16,56.596,7.312140942010507e-07
"uniform[-1,1]",GF8,8,38.16,5.100372781373771e-05
"uniform[-1,1]",fp8_e4m3,8,32.527,0.00018659673124415876
"uniform[-1,1]",int8,8,48.094,5.179093302658562e-06
lognormal(wide DR),GF16,16,67.326,1.506570644746255e-09
lognormal(wide DR),fp16,16,73.531,3.609408166202027e-10
lognormal(wide DR),bf16,16,55.219,2.4469837027469352e-08
lognormal(wide DR),GF8,8,26.163,1.9688200729484397e-05
lognormal(wide DR),fp8_e4m3,8,30.725,6.887722477717904e-06
lognormal(wide DR),int8,8,15.747,0.0002166916414382299
