tensor,format,sqnr_db
wte.weight,GF16,67.69
wte.weight,fp16,73.734
wte.weight,bf16,55.419
wte.weight,GF8,30.048
wte.weight,fp8_e4m3,31.604
wte.weight,int8,36.988
h.0.attn.c_attn.weight,GF16,67.703
h.0.attn.c_attn.weight,fp16,73.603
h.0.attn.c_attn.weight,bf16,55.537
h.0.attn.c_attn.weight,GF8,32.499
h.0.attn.c_attn.weight,fp8_e4m3,31.532
h.0.attn.c_attn.weight,int8,32.926
h.0.mlp.c_fc.weight,GF16,67.62
h.0.mlp.c_fc.weight,fp16,73.649
h.0.mlp.c_fc.weight,bf16,55.468
h.0.mlp.c_fc.weight,GF8,29.857
h.0.mlp.c_fc.weight,fp8_e4m3,31.48
h.0.mlp.c_fc.weight,int8,32.04
h.6.mlp.c_proj.weight,GF16,67.685
h.6.mlp.c_proj.weight,fp16,73.609
h.6.mlp.c_proj.weight,bf16,55.432
h.6.mlp.c_proj.weight,GF8,27.498
h.6.mlp.c_proj.weight,fp8_e4m3,31.457
h.6.mlp.c_proj.weight,int8,31.881
h.11.attn.c_proj.weight,GF16,67.727
h.11.attn.c_proj.weight,fp16,73.595
h.11.attn.c_proj.weight,bf16,55.756
h.11.attn.c_proj.weight,GF8,31.976
h.11.attn.c_proj.weight,fp8_e4m3,31.336
h.11.attn.c_proj.weight,int8,20.393
